Fiscal Year 2022,A1,A2,A3,B1,B1/B2,B2,BBBCC,BBBCV,C1,C1/D,C2,C3,CW1,CW2,D,E1,E2,E2C,E3,E3D,E3R,F1,F2,G1,G2,G3,G4,G5,H1B,H1B1,H1C,H2A,H2B,H3,H4,I,J1,J2,K1,K2,K3,K4,L1,L2,M1,M2,N8,N9,NATO1,NATO2,NATO3,NATO4,NATO5,NATO6,O1,O2,O3,P1,P2,P3,P4,Q1,R1,R2,T2,T3,T4,T5,T6,TD,TN,U1,U2,U3,U4,U5,Grand Total
Jamaica,24,268,1,229,"24,922",59,0,0,48,"1,336",0,244,0,0,1,0,6,0,0,0,0,"1,296",64,9,16,0,75,1,380,0,0,"4,826","12,791",0,309,23,"7,291",894,171,31,0,0,48,27,19,0,0,0,0,0,0,0,0,0,60,264,8,44,0,95,0,0,15,19,0,3,0,0,0,0,0,1,0,5,0,0,"55,923"
Mexico,307,"1,760",7,"3,122","11,547",90,"1,182,329","62,153",43,"4,084",0,1,0,0,46,734,"1,654",0,0,6,0,"7,766",686,42,17,0,365,5,"2,069",0,0,"275,981","84,495",84,"3,066",670,"14,580",521,"1,216",276,2,1,"4,293","5,388",231,30,0,0,0,1,0,0,0,0,738,"2,005",248,"4,976",3,569,195,113,273,69,6,53,2,3,1,"15,761","33,330",97,50,441,7,5,"1,728,613"
Nicaragua,13,3,1,249,"14,305",8,0,0,94,748,0,0,0,0,0,1,0,0,0,0,0,230,8,3,2,0,35,3,35,0,0,966,40,8,26,22,170,12,55,8,0,0,20,18,1,0,0,0,0,0,0,0,0,0,2,3,0,27,0,1,4,0,16,5,0,5,0,0,0,4,0,0,0,24,1,1,"17,177"
Panama,20,402,0,16,"15,112",5,0,0,30,"1,384",0,21,0,0,0,1,20,0,0,0,0,954,25,10,0,0,57,1,46,0,0,12,93,0,12,12,215,9,26,5,0,0,44,91,15,0,0,0,0,0,0,0,0,0,22,17,10,86,0,0,13,0,5,6,0,0,0,0,0,1,0,0,0,0,0,0,"18,798"
Saint Kitts and Nevis,2,9,0,1,"1,649",2,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,73,4,4,6,0,2,0,13,0,0,0,0,0,1,0,10,0,0,0,0,0,5,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,807"
Saint Lucia,6,11,0,8,"1,715",1,0,0,7,309,0,15,0,0,0,0,0,0,0,0,0,69,0,3,3,0,3,0,16,0,0,0,0,0,4,0,18,1,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,200"
Saint Vincent and the Grenadines,10,19,0,167,958,23,0,0,0,222,0,12,0,0,0,0,0,0,0,0,0,40,1,1,3,0,6,0,4,0,0,0,0,0,1,0,8,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,486"
Trinidad and Tobago,42,96,0,24,"23,325",4,0,0,22,324,0,52,0,0,0,0,11,0,0,1,0,533,27,7,1,0,86,0,113,0,0,0,0,0,34,3,164,55,24,6,0,0,122,120,24,0,0,0,0,0,0,0,0,0,28,70,4,95,0,124,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,550"
Australia,144,"5,758",0,58,"4,697",10,0,0,3,"2,312",0,36,0,0,0,5,333,0,"4,731","2,622","2,629","1,764",64,23,55,0,189,0,518,0,0,5,17,3,174,123,"1,868",129,116,2,0,0,811,761,74,9,0,0,0,0,0,0,0,0,788,364,90,438,3,8,31,0,40,15,0,0,0,0,0,5,0,0,0,0,0,0,"31,825"
Fiji,3,58,0,2,"2,167",0,0,0,419,294,0,26,0,0,0,0,0,0,0,2,0,26,0,7,6,0,42,0,3,0,0,1,2,0,3,1,94,25,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,199"
Kiribati,9,20,0,0,16,0,0,0,3,1,0,15,0,0,0,0,0,0,0,0,0,7,1,2,13,0,5,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
